Date,^J203.JO
2016-11-15,49430.2109375
2016-11-16,50004.8203125
2016-11-17,50617.5703125
2016-11-18,50626.05859375
2016-11-21,50596.51953125
2016-11-22,51117.73828125
2016-11-23,50616.4296875
2016-11-24,50561.4296875
2016-11-25,50696.1015625
2016-11-28,50193.640625
2016-11-29,50157.28125
2016-11-30,50209.4296875
2016-12-01,49927.0
2016-12-02,49256.1015625
2016-12-05,49713.55859375
2016-12-06,48935.8984375
2016-12-07,49476.05859375
2016-12-08,50543.44140625
2016-12-09,50899.921875
2016-12-12,50527.859375
2016-12-13,50839.25
2016-12-14,50716.25
2016-12-15,49691.30859375
2016-12-19,49880.98828125
2016-12-20,50343.23828125
2016-12-21,50163.921875
2016-12-22,49833.76953125
2016-12-23,49400.55859375
2016-12-28,50322.71875
2016-12-29,50682.078125
2016-12-30,50653.5390625
2017-01-03,51020.66015625
2017-01-04,50760.23828125
2017-01-05,50474.94921875
2017-01-06,51216.0
2017-01-09,51049.7109375
2017-01-10,51740.171875
2017-01-11,52437.91015625
2017-01-12,52444.359375
2017-01-13,52794.80859375
2017-01-16,53158.5390625
2017-01-17,52817.73046875
2017-01-18,52933.28125
2017-01-19,52900.76953125
2017-01-20,52532.26171875
2017-01-23,53040.48046875
2017-01-24,53342.0390625
2017-01-25,53250.7890625
2017-01-26,53405.73828125
2017-01-27,52973.828125
2017-01-30,52660.94140625
2017-01-31,52788.12109375
2017-02-01,53104.12109375
2017-02-02,52719.578125
2017-02-03,52265.16015625
2017-02-06,52151.16015625
2017-02-07,52181.91015625
2017-02-08,51803.48046875
2017-02-09,51904.33984375
2017-02-10,52687.2890625
2017-02-13,52956.7109375
2017-02-14,52465.640625
2017-02-15,52485.16015625
2017-02-16,52586.37109375
2017-02-17,52223.5390625
2017-02-20,52558.609375
2017-02-21,52586.609375
2017-02-22,52088.55859375
2017-02-23,52183.1015625
2017-02-24,51609.859375
2017-02-27,51497.16015625
2017-02-28,51146.05078125
2017-03-01,51682.19140625
2017-03-02,51893.19140625
2017-03-03,51708.609375
2017-03-06,51498.140625
2017-03-07,51377.78125
2017-03-08,51299.98828125
2017-03-09,50910.7109375
2017-03-10,51269.5390625
2017-03-13,51855.37890625
2017-03-14,51699.4609375
2017-03-15,51701.6015625
2017-03-16,52748.96875
2017-03-17,52550.98828125
2017-03-20,52753.55859375
2017-03-22,52096.7109375
2017-03-23,52027.98046875
2017-03-24,51816.30859375
2017-03-27,51724.921875
2017-03-28,52309.23046875
2017-03-29,52444.78125
2017-03-30,52261.1796875
2017-03-31,52056.05859375
2017-04-03,52457.76171875
2017-04-04,52660.73828125
2017-04-05,52990.078125
2017-04-06,52918.421875
2017-04-07,52853.359375
2017-04-10,53139.9609375
2017-04-11,53535.16015625
2017-04-12,53551.30859375
2017-04-13,53510.21875
2017-04-18,52672.75
2017-04-19,52545.12109375
2017-04-20,52496.62109375
2017-04-21,52194.58984375
2017-04-24,52921.41015625
2017-04-25,53257.44140625
2017-04-26,53680.69140625
2017-04-28,53817.30859375
2017-05-02,53915.640625
2017-05-03,53586.62890625
2017-05-04,53406.30859375
2017-05-05,53579.01171875
2017-05-08,53696.37109375
2017-05-09,54172.76171875
2017-05-10,54254.3515625
2017-05-11,54114.0
2017-05-12,54063.33984375
2017-05-15,54052.1796875
2017-05-16,54023.12109375
2017-05-17,54001.94140625
2017-05-18,54197.12109375
2017-05-19,54427.30078125
2017-05-22,54517.05859375
2017-05-23,54548.91015625
2017-05-24,54308.671875
2017-05-25,54028.390625
2017-05-26,53996.140625
2017-05-29,53944.21875
2017-05-30,54158.0390625
2017-05-31,53562.5703125
2017-06-01,52840.6796875
2017-06-02,52889.69921875
2017-06-05,52870.12109375
2017-06-06,52251.87109375
2017-06-07,52117.8203125
2017-06-08,51958.51953125
2017-06-09,52216.9296875
2017-06-12,51564.0
2017-06-13,51625.0703125
2017-06-14,51489.16015625
2017-06-15,50831.890625
2017-06-19,51615.8984375
2017-06-20,51160.5703125
2017-06-21,51402.69140625
2017-06-22,51072.859375
2017-06-23,51503.51953125
2017-06-26,51288.7109375
2017-06-27,51432.23828125
2017-06-28,51596.83984375
2017-06-29,51355.96875
2017-06-30,51611.01171875
2017-07-03,52163.80078125
2017-07-04,52049.25
2017-07-05,52483.8984375
2017-07-06,52285.078125
2017-07-07,51900.26171875
2017-07-10,52187.921875
2017-07-11,52376.37890625
2017-07-12,52905.98046875
2017-07-13,53300.9609375
2017-07-14,53597.9609375
2017-07-17,53827.41015625
2017-07-18,53261.640625
2017-07-19,54091.109375
2017-07-20,54287.3203125
2017-07-21,54162.7109375
2017-07-24,54368.62109375
2017-07-25,54499.109375
2017-07-26,54836.19140625
2017-07-27,54888.890625
2017-07-28,54883.2109375
2017-07-31,55207.41015625
2017-08-01,55390.0703125
2017-08-02,55200.48828125
2017-08-03,55685.01171875
2017-08-04,55944.828125
2017-08-07,56163.6015625
2017-08-08,55980.05078125
2017-08-10,55700.640625
2017-08-11,55155.12890625
2017-08-14,55465.6484375
2017-08-15,54983.3203125
2017-08-16,55534.6015625
2017-08-17,55415.26953125
2017-08-18,55304.23046875
2017-08-21,55450.53125
2017-08-22,56033.9609375
2017-08-23,56162.30078125
2017-08-24,56588.98828125
2017-08-25,56655.87890625
2017-08-28,56555.62109375
2017-08-29,56409.62109375
2017-08-30,56168.0
2017-08-31,56522.109375
2017-09-01,56513.4609375
2017-09-04,56312.8515625
2017-09-05,56144.80078125
2017-09-06,55480.19921875
2017-09-07,55878.19140625
2017-09-08,55724.671875
2017-09-11,56008.76953125
2017-09-12,56366.16015625
2017-09-13,56152.5390625
2017-09-14,55850.3203125
2017-09-15,55645.1484375
2017-09-18,56050.1015625
2017-09-19,56011.16015625
2017-09-20,55867.4609375
2017-09-21,55867.33984375
2017-09-22,55839.73046875
2017-09-26,55070.37890625
2017-09-27,55214.0703125
2017-09-28,54994.3515625
2017-09-29,55579.921875
2017-10-02,55778.26953125
2017-10-03,56358.26171875
2017-10-04,56750.03125
2017-10-05,56999.7890625
2017-10-06,57231.87109375
2017-10-09,57530.109375
2017-10-10,57629.9296875
2017-10-11,57770.73046875
2017-10-12,57747.33984375
2017-10-13,57876.6015625
2017-10-16,58163.55859375
2017-10-17,57882.671875
2017-10-18,58152.41015625
2017-10-19,57896.828125
2017-10-20,57948.66015625
2017-10-23,57999.6015625
2017-10-24,57904.71875
2017-10-25,58123.12890625
2017-10-26,58576.2890625
2017-10-27,58714.0390625
2017-10-30,58879.140625
2017-10-31,58980.109375
2017-11-01,59514.109375
2017-11-02,59331.19921875
2017-11-03,59638.2109375
2017-11-06,59975.671875
2017-11-07,60182.6015625
2017-11-08,60078.03125
2017-11-09,59862.109375
2017-11-10,59776.12109375
2017-11-13,59821.48828125
2017-11-14,59518.8984375
2017-11-15,59185.2109375
2017-11-16,59549.21875
2017-11-17,60128.41015625
2017-11-20,60500.609375
2017-11-21,61211.51953125
2017-11-22,60751.1796875
2017-11-23,60298.16015625
2017-11-24,60323.94921875
2017-11-27,60157.55859375
2017-11-28,60082.7890625
2017-11-29,60418.390625
2017-11-30,59772.828125
2017-12-01,59449.37890625
2017-12-04,59607.33984375
2017-12-05,58977.23046875
2017-12-06,58010.1796875
2017-12-07,58013.1796875
2017-12-08,58012.30859375
2017-12-11,57997.328125
2017-12-12,57523.62109375
2017-12-13,57344.41015625
2017-12-14,57845.5703125
2017-12-15,57412.76171875
2017-12-18,57707.421875
2017-12-19,58170.44140625
2017-12-20,58032.08984375
2017-12-21,58771.7890625
2017-12-22,58800.23046875
2017-12-27,58844.01171875
2017-12-28,58952.890625
2017-12-29,59504.671875
2018-01-02,59731.16015625
2018-01-03,59629.640625
2018-01-04,59476.76953125
2018-01-05,59717.19921875
2018-01-08,60038.390625
